,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5613632320695808,-0.5024451714361923
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0.6131818322662954,0.7868452935884461
2,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26772696598561174,-0.4888542575852486
3,1,1,0,0,1,0,0,1,1,0,1,0,0,0.3929546327033186,0.4207302360686478
4,0,0,0,1,0,0,0,1,0,1,0,0,1,0.3929546327033186,-0.4863374216869257
5,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.42710153001403584,-0.47811642890864375
6,0,0,0,0,1,0,0,1,0,1,1,0,0,1.7877268966021715,0.395813560675251
7,0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029544562489426,-0.22408312108167944
8,1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19431789946461947,-0.4242561406845337
9,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.148635764237519,-0.04295550208861426
10,1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8827264294474415,-0.312172377522981
11,1,0,0,0,1,0,0,1,1,0,1,0,0,2.0813631626861406,-0.11384570873513637
12,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081813651115653,-0.4863374216869257
13,0,1,5,1,0,0,0,1,0,1,0,0,1,0.6865908987872876,-0.01870931177853076
14,0,0,0,1,0,0,0,1,1,0,0,0,1,-1.148635764237519,-0.4902797934380587
15,1,0,0,1,0,0,0,1,1,0,0,1,0,1.8611359631231639,-0.3262666585535892
16,0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029544562489426,-0.06199888922968463
17,1,0,0,1,0,0,0,1,0,1,0,1,0,0.17760862587549608,-0.3866707201133388
18,0,1,0,1,0,0,0,1,1,0,0,0,1,0.09931836661934956,-0.2859972841804228
19,1,0,0,1,0,1,0,0,1,0,0,0,1,-0.00945881067615335,-0.5029485386158568
20,0,0,0,1,0,0,0,1,0,1,0,1,0,0.3929546327033186,-0.12491978668775715
21,1,0,0,0,1,0,0,1,0,1,0,1,0,0.3195455661823263,-0.3866707201133388
22,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0752266977165266,-0.4867562231804066
23,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.12090883294362723,0.06635974158478332
24,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.5890901633634724,-0.22408312108167944
25,1,1,5,1,0,0,0,1,1,0,0,0,1,0.6131818322662954,-0.016444159470040135
26,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.00945881067615335,-0.5029485386158568
27,0,3,2,0,1,0,0,1,0,1,1,0,0,-0.7815904316325576,4.647001076532463
28,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5334594740350361,-0.48977642625839407
29,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12478437924093588,-0.4894421904510968
30,0,0,0,1,0,1,0,0,0,1,1,0,0,0.7599999653082798,-0.09027201697708476
31,1,1,0,0,1,1,0,0,1,0,1,0,0,0.4743565925789988,2.301728820789
